covid19model_country,covid19model_region,GCMR_country,GCMR_region
Denmark,Denmark,Denmark,Denmark
Italy,Italy,Italy,Italy
Germany,Germany,Germany,Germany
Spain,Spain,Spain,Spain
United_Kingdom,United_Kingdom,United Kingdom,United Kingdom
France,France,France,France
Norway,Norway,Norway,Norway
Belgium,Belgium,Belgium,Belgium
Austria,Austria,Austria,Austria
Sweden,Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland,Switzerland
Greece,Greece,Greece,Greece
Portugal,Portugal,Portugal,Portugal
Netherlands,Netherlands,Netherlands,Netherlands
