covid19model_country,covid19model_region,GCMR_country,GCMR_region
France,Auvergne-Rhône-Alpes,France,Auvergne-Rhône-Alpes
France,Bourgogne-Franche-Comté,France,Bourgogne-Franche-Comté
France,Bretagne,France,Brittany
France,Centre-Val de Loire,France,Centre-Val de Loire
France,Corse,France,Corsica
France,Grand Est,France,Grand Est
France,Hauts-de-France,France,Hauts-de-France
France,Normandie,France,Normandy
France,Nouvelle-Aquitaine,France,Nouvelle-Aquitaine
France,Occitanie,France,Occitanie
France,Pays de la Loire,France,Pays de la Loire
France,Provence-Alpes-Côte d'Azur,France,Provence-Alpes-Côte d'Azur
France,Île-de-France,France,Île-de-France
France,France-hopitaux,France,France
France,France-OC19,France,France
France,France-EHPAD,France,France
